round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.931952953338623,0.028292682021856308,1.7113457918167114,0.3691707253456116,0.2899056799721021
2,1.7860358953475952,0.34439024329185486,1.366117238998413,0.4747317135334015,0.42176478979773824
3,1.4557582139968872,0.46146342158317566,1.231027364730835,0.48058536648750305,0.43102215707128916
4,1.3213032484054565,0.47999998927116394,1.1589607000350952,0.5783414840698242,0.500088959217217
5,1.2445001602172852,0.49170732498168945,1.117175817489624,0.5869268178939819,0.5114159439257702
6,1.2050046920776367,0.49365854263305664,1.0889889001846313,0.5906341671943665,0.5174139633024781
7,1.184816598892212,0.4868292808532715,1.0675840377807617,0.6815609931945801,0.6275985957245974
8,1.1645011901855469,0.49073171615600586,1.0496094226837158,0.6316097378730774,0.5813868815873366
9,1.1317601203918457,0.5268292427062988,1.0357320308685303,0.5802927017211914,0.4989379010033923
10,1.1200604438781738,0.5258536338806152,1.0201421976089478,0.5939512252807617,0.5422935975659459
11,1.1008727550506592,0.5473170876502991,1.0055363178253174,0.5925853848457336,0.5267790443372523
12,1.0889134407043457,0.5502439141273499,0.9908657670021057,0.5921950936317444,0.5239921696470375
13,1.078666090965271,0.5453658699989319,0.9760280847549438,0.5949268341064453,0.5273246934208173
14,1.0598108768463135,0.5551219582557678,0.9592270255088806,0.6380487680435181,0.5899965321382769
15,1.0369620323181152,0.5629268288612366,0.9438691139221191,0.5962926745414734,0.5607727286637578
16,1.0056875944137573,0.58829265832901,0.9272725582122803,0.5947316884994507,0.5282285761849217
17,0.997353196144104,0.5970731973648071,0.9105797410011292,0.5955122113227844,0.5301991859403239
18,0.9741706848144531,0.6039024591445923,0.89471435546875,0.5980488061904907,0.5616083244967599
19,0.9592660069465637,0.5980488061904907,0.878461480140686,0.6388292908668518,0.6215454517189911
20,0.9500989317893982,0.6078048944473267,0.8636840581893921,0.6392195224761963,0.5962341557510766
