round,3_client_f1,4_client_f1,5_client_f1
0,0.0346609649190692,0.0277043018237505,0.0389163603875806
1,0.6452461677333181,0.5509245505291425,0.5293885962752368
2,0.6354226843441683,0.5515738180012376,0.569152932656779
3,0.6446888771393687,0.6538890630029202,0.5460606482844439
4,0.6810041838010805,0.6503690607953578,0.632566338841276
5,0.6745023133206757,0.6337204667211394,0.6339375420018349
6,0.6770895339511425,0.6375373230878845,0.6472334542253644
7,0.6511362382754524,0.6641683838513067,0.6426939145552976
8,0.6784368719639645,0.6398192162049574,0.6579655579146589
9,0.6729970594176398,0.659730608465032,0.6371844591326582
10,0.6783680842198162,0.6445163432433815,0.6628784674918772
11,0.6587810553097128,0.6761597972155818,0.6438298539283487
12,0.7107219857606434,0.6448318935685948,0.6470773525940747
13,0.7071196521761058,0.6473507711673574,0.6739730352962554
14,0.7175008690678851,0.6414268361305058,0.6468621613604153
15,0.6773288794672433,0.6527529823578286,0.663757129493517
16,0.6915943805081723,0.647377785397806,0.6477071084403249
17,0.6853591836502458,0.6545823071704293,0.6489805919650059
18,0.6849330846372227,0.6765230297875761,0.6495068209600476
19,0.6879532306543333,0.6483591930738644,0.6960529261269898
20,0.6895937441901059,0.6438927001662784,0.6667410687297401
