round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.4990077018737793,0.1666666716337204,6.53677225112915,0.38863635063171387,0.33245731027387954
2,1.647176742553711,0.36274510622024536,5.107836723327637,0.4545454680919647,0.40014769662921656
3,1.4089850187301636,0.47058823704719543,4.764212608337402,0.48363634943962097,0.435466850130367
4,1.3348116874694824,0.46078431606292725,4.4327006340026855,0.4904545545578003,0.4419294384859597
5,1.2736077308654785,0.4901960790157318,4.134252071380615,0.4922727346420288,0.443890084113516
6,1.3352612257003784,0.4901960790157318,3.8633110523223877,0.4922727346420288,0.4438866595659148
7,1.3000580072402954,0.45098039507865906,3.6812336444854736,0.4940909147262573,0.44564641833440727
8,1.1922757625579834,0.5882353186607361,3.321178913116455,0.5899999737739563,0.5509560033206302
9,1.2476558685302734,0.5196078419685364,3.1619722843170166,0.5922726988792419,0.5538148881746036
10,1.2549020051956177,0.5098039507865906,2.929293155670166,0.5954545736312866,0.5328877217733525
11,1.1764017343521118,0.5588235259056091,2.596792459487915,0.5931817889213562,0.5329821016562298
12,1.1689035892486572,0.5098039507865906,2.5841305255889893,0.5940909385681152,0.5338079088065754
13,1.2100294828414917,0.4803921580314636,2.3576667308807373,0.5931817889213562,0.5329273452541966
14,1.1487550735473633,0.4803921580314636,2.1844470500946045,0.5950000286102295,0.5350401013627962
15,1.1110721826553345,0.4803921580314636,2.269432306289673,0.5954545736312866,0.5356336743041394
16,1.1085703372955322,0.5686274766921997,2.33901047706604,0.6031818389892578,0.5428814533718578
17,1.0744396448135376,0.5686274766921997,2.32828950881958,0.6013636589050293,0.540759530501296
18,1.0638177394866943,0.5490196347236633,2.402340888977051,0.6018182039260864,0.5414378504960574
19,1.0619279146194458,0.5392156839370728,2.380828857421875,0.6013636589050293,0.5411222579674083
20,1.0457209348678589,0.5392156839370728,2.547348737716675,0.6027272939682007,0.5425587185871038
