round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.6559135913848877,0.11344537883996964,4.356314182281494,0.44999998807907104,0.37859896421639955
2,1.6089965105056763,0.3571428656578064,4.368855953216553,0.4950000047683716,0.4421463648644273
3,1.3568905591964722,0.5042017102241516,4.0795087814331055,0.49909090995788574,0.44650039572578776
4,1.3282109498977661,0.4327731132507324,3.929609775543213,0.5004545450210571,0.44912804451905647
5,1.2572885751724243,0.4831932783126831,3.78871488571167,0.5013636350631714,0.4504318420100047
6,1.2479698657989502,0.43697479367256165,3.460198163986206,0.5022727251052856,0.4515269265745488
7,1.2255948781967163,0.45378151535987854,3.307929754257202,0.6631818413734436,0.6098977502141779
8,1.1944512128829956,0.5,3.0686538219451904,0.6022727489471436,0.539958509819658
9,1.1732304096221924,0.5,2.934213161468506,0.6831818222999573,0.625943792749609
10,1.1840327978134155,0.47478991746902466,2.7853684425354004,0.6077272891998291,0.5495222435056657
11,1.1604013442993164,0.5126050710678101,2.6143980026245117,0.6559090614318848,0.6057547321914803
12,1.117692232131958,0.5420168042182922,2.4301602840423584,0.6545454263687134,0.6041826749094007
13,1.102898359298706,0.5420168042182922,2.4053421020507812,0.6404545307159424,0.5918768584218036
14,1.0680217742919922,0.5840336084365845,2.2615091800689697,0.6868181824684143,0.628651509352293
15,1.074129343032837,0.5126050710678101,2.204874038696289,0.6859090924263,0.6284423768121404
16,1.0405056476593018,0.5672268867492676,2.124450922012329,0.6877272725105286,0.6313782946524977
17,1.0747878551483154,0.5588235259056091,2.204296827316284,0.6872727274894714,0.6306485862950768
18,1.0417959690093994,0.5462185144424438,2.276815176010132,0.6872727274894714,0.6292079355575717
19,1.0289714336395264,0.5504201650619507,2.3141369819641113,0.6881818175315857,0.6302851149744121
20,1.0181686878204346,0.5588235259056091,2.2973361015319824,0.6868181824684143,0.6279555170466544
