round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.5742335319519043,0.1307317018508911,1.0495636463165283,0.4924878180027008,0.43088413798359226
2,1.121504545211792,0.5014634132385254,0.9523254632949829,0.5949268341064453,0.5251672415634017
3,1.0129026174545288,0.5609756112098694,0.848248302936554,0.618731677532196,0.5591419777737622
4,0.9081490635871887,0.6009756326675415,0.7580262422561646,0.6880000233650208,0.6319751583927473
5,0.80036860704422,0.6351219415664673,0.7204884886741638,0.6394146084785461,0.595973336932927
6,0.7488569617271423,0.6692683100700378,0.7103192806243896,0.6788292527198792,0.6191791800615831
7,0.7368269562721252,0.652682900428772,0.6610392928123474,0.6932682991027832,0.6451106492331333
8,0.7036122679710388,0.6800000071525574,0.6602977514266968,0.691317081451416,0.634157804267266
9,0.6975072622299194,0.676097571849823,0.6468060612678528,0.6881951093673706,0.6260022416997716
10,0.6665060520172119,0.6887804865837097,0.628488302230835,0.6907317042350769,0.6288095317540372
11,0.6560466885566711,0.6780487895011902,0.6208837032318115,0.6846829056739807,0.6249690778076988
12,0.629889965057373,0.7014634013175964,0.5944293737411499,0.6938536763191223,0.6327388833108482
13,0.6375298500061035,0.6965853571891785,0.595731258392334,0.6965853571891785,0.6526569476222274
14,0.6124393939971924,0.6995121836662292,0.5878336429595947,0.696195125579834,0.6389164385488679
15,0.6108419299125671,0.6985365748405457,0.5811930298805237,0.687219500541687,0.6254871534428977
16,0.6076902151107788,0.6829268336296082,0.5712396502494812,0.6948292851448059,0.6392863155736856
17,0.5958609580993652,0.7131707072257996,0.5642175674438477,0.6959999799728394,0.6414076961198856
18,0.5929601788520813,0.6839024424552917,0.5599014163017273,0.7006829380989075,0.6588119549837926
19,0.5918481945991516,0.680975615978241,0.5607166290283203,0.6934633851051331,0.6326417279369398
20,0.5747080445289612,0.7004877924919128,0.5667228102684021,0.6714146137237549,0.588767162909646
