round,3_client_f1,4_client_f1,5_client_f1
0,0.0831014657476303,0.0331052005104274,0.0032465815558229
1,0.268979872585902,0.1740599677369351,0.254099372036711
2,0.3891247712673146,0.3650789265906103,0.3115985775384238
3,0.448378155603758,0.3818230385024626,0.3461519876756931
4,0.4841064231738383,0.5214969624475477,0.3980596557981665
5,0.5119796747813408,0.4999843406366137,0.4862135873329963
6,0.5529166759880029,0.5141701433728684,0.44900411998089
7,0.5376260996525306,0.4512058019724895,0.4807033565561416
8,0.5400509979086967,0.5450890706173638,0.4636660458028201
9,0.544758664728343,0.5438204896493956,0.501659773424017
10,0.6489784841120549,0.5445077302737275,0.471257795493776
11,0.5565474994789578,0.5488001316932185,0.4689750550702803
12,0.5806788827707975,0.5510683637308437,0.5236519383482097
13,0.5536237780879,0.6536658931298143,0.5933304028161376
14,0.555691334971469,0.6199074899529302,0.4855727246096051
15,0.6246659233723816,0.6256145277891925,0.4896947388931376
16,0.622506036759819,0.5798460747282201,0.6254999259605274
17,0.5811936753445638,0.5750986421801496,0.5452848712806003
18,0.6168434863846458,0.626214215410233,0.4720541255221361
19,0.6263304973804872,0.6262210600412397,0.6270998632788134
20,0.6194415165444315,0.5472908371473872,0.5759551293264148
