round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.808277130126953,0.1145365834236145,0.08310146574763033
1,,,1.7910752296447754,0.29541462659835815,0.26897987258590206
2,,,1.4915715456008911,0.430829256772995,0.38912477126731465
3,,,1.3721604347229004,0.49268293380737305,0.448378155603758
4,,,1.3009717464447021,0.5621463656425476,0.48410642317383834
5,,,1.2611454725265503,0.5709268450737,0.5119796747813408
6,,,1.2283939123153687,0.5584390163421631,0.5529166759880029
7,,,1.2054790258407593,0.5998048782348633,0.5376260996525306
8,,,1.1869666576385498,0.6025365591049194,0.5400509979086967
9,,,1.1739542484283447,0.6066341400146484,0.544758664728343
10,,,1.154578447341919,0.6792194843292236,0.6489784841120549
11,,,1.1369653940200806,0.610341489315033,0.5565474994789578
12,,,1.123456597328186,0.611707329750061,0.5806788827707975
13,,,1.1128277778625488,0.6105365753173828,0.5536237780879
14,,,1.0995913743972778,0.6122927069664001,0.555691334971469
15,,,1.0845284461975098,0.6842926740646362,0.6246659233723816
16,,,1.071966290473938,0.6796097755432129,0.622506036759819
17,,,1.0598597526550293,0.6113170981407166,0.5811936753445638
18,,,1.0441831350326538,0.6780487895011902,0.6168434863846458
19,,,1.027758240699768,0.6862438917160034,0.6263304973804872
20,,,1.015956997871399,0.6800000071525574,0.6194415165444315
