round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.589862823486328,0.11319281905889511,1.0611438751220703,0.5213636159896851,0.47974462348730174
2,1.1267215013504028,0.5308352708816528,0.990517258644104,0.6022727489471436,0.5297892326384939
3,1.0118478536605835,0.5472287535667419,0.9285286664962769,0.5731818079948425,0.475280221710914
4,0.9376524686813354,0.6003122329711914,0.8519362211227417,0.6463636159896851,0.6034652655581205
5,0.874573826789856,0.6221701502799988,0.794341504573822,0.6904545426368713,0.633235500129257
6,0.8311471939086914,0.6315378546714783,0.7498975992202759,0.6995454430580139,0.6681440791832878
7,0.7897592782974243,0.6448087692260742,0.7195836305618286,0.6781818270683289,0.6262842492410622
8,0.7612476348876953,0.6643247604370117,0.6901786923408508,0.7081817984580994,0.669608847319491
9,0.7228553891181946,0.6666666865348816,0.6653520464897156,0.699999988079071,0.655949446005706
10,0.6884225010871887,0.6760343313217163,0.6406502723693848,0.6981818079948425,0.642001385990251
11,0.6594731211662292,0.6900858879089355,0.6254109740257263,0.6990908980369568,0.642749620753672
12,0.6554206013679504,0.6971116065979004,0.6010858416557312,0.7081817984580994,0.6751973810014039
13,0.6492701172828674,0.6721311211585999,0.5892913341522217,0.7081817984580994,0.6793111183996667
14,0.6177620887756348,0.6971116065979004,0.5763911008834839,0.6986363530158997,0.642893950671633
15,0.6123380661010742,0.6908665299415588,0.563094973564148,0.7013636231422424,0.6495532970651264
16,0.6014223098754883,0.7080405950546265,0.552706241607666,0.699999988079071,0.6419033495995765
17,0.5840626358985901,0.6963309645652771,0.547173798084259,0.6990908980369568,0.6429104286629179
18,0.579333484172821,0.6978922486305237,0.5400607585906982,0.7045454382896423,0.654363603158869
19,0.5764920711517334,0.6908665299415588,0.5377800464630127,0.6990908980369568,0.6413688320124457
20,0.5755388736724854,0.7002341747283936,0.5308946967124939,0.7004545331001282,0.643447711307155
