round,3_client_f1,4_client_f1,5_client_f1
0,0.0412823701814471,0.1708726499485511,0.0375024707944608
1,0.3503299857704745,0.4016566764352336,0.2673964370884982
2,0.392016758520511,0.4431064220990204,0.3532646419525107
3,0.4462149182588895,0.4484215795705936,0.4247356238792712
4,0.4639044469039446,0.5175592158828384,0.4909015229551273
5,0.5470066724023778,0.5259326065259156,0.5608846422579885
6,0.5503254224643043,0.5815789982227295,0.5158532174868219
7,0.6416028373524708,0.5348745515151362,0.5844509396177261
8,0.6253893264902878,0.5385043355687701,0.4650303906379933
9,0.6288401767141827,0.6386852183120924,0.5601430759772903
10,0.6476228370345848,0.6304536041086938,0.549346493867291
11,0.5537396663265781,0.5219761483652657,0.5927785693820918
12,0.6345269517136208,0.5257862234234455,0.650788045916089
13,0.6292281372659378,0.6292600773226004,0.642157260124567
14,0.6310321968117775,0.616055576919792,0.6260778676930322
15,0.631547404693561,0.5826172392837164,0.5903142274301002
16,0.6386086841766544,0.6272562367519132,0.6136331241552283
17,0.6498359012824575,0.6042019646438175,0.6355146774151498
18,0.6311810715051471,0.6029999549073418,0.6269872820995214
19,0.6318055901467302,0.594231002883953,0.6256975571757093
20,0.6485481753633169,0.5431152338552377,0.626229341361625
