round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.605008363723755,0.19045454263687134,0.08522964702119423
1,,,1.1202102899551392,0.6036363840103149,0.5383512980363615
2,,,1.0204620361328125,0.6036363840103149,0.5385727736474577
3,,,0.8958868980407715,0.6877272725105286,0.6291277029631029
4,,,0.8078263998031616,0.6913636326789856,0.6330536262566121
5,,,0.7507513761520386,0.6918181777000427,0.6341700871438456
6,,,0.7094534039497375,0.6922727227210999,0.6349069521439287
7,,,0.6759639382362366,0.6959090828895569,0.6381353778980341
8,,,0.6484413146972656,0.6972727179527283,0.6399532855644842
9,,,0.6241443157196045,0.6981818079948425,0.6392564022136044
10,,,0.6074162125587463,0.6954545378684998,0.6353064089205154
11,,,0.5894478559494019,0.6936363577842712,0.635946908859246
12,,,0.5745975971221924,0.6981818079948425,0.6379082498737155
13,,,0.5639578104019165,0.7009090781211853,0.6451526012318861
14,,,0.5551419258117676,0.6981818079948425,0.6380299327098962
15,,,0.5509177446365356,0.6968181729316711,0.6363950978893749
16,,,0.5447311401367188,0.6990908980369568,0.6448086997553376
17,,,0.5401608943939209,0.6986363530158997,0.638420166513723
18,,,0.539746880531311,0.6968181729316711,0.6436864873558961
19,,,0.5374919772148132,0.699999988079071,0.6455178232125586
20,,,0.5346779823303223,0.7018181681632996,0.64664153252042
