round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.840714693069458,0.10272727161645889,0.029828605991207294
1,,,1.1195130348205566,0.6031818389892578,0.53772857481683
2,,,1.0207033157348633,0.6909090876579285,0.6314840272457295
3,,,0.948704183101654,0.6899999976158142,0.630951970762928
4,,,0.882864773273468,0.6872727274894714,0.6394227432759452
5,,,0.8259403705596924,0.6899999976158142,0.6426603766458411
6,,,0.7793465852737427,0.6890909075737,0.642010038874788
7,,,0.7495311498641968,0.6918181777000427,0.6449405741008227
8,,,0.7221649885177612,0.6918181777000427,0.6453220721552194
9,,,0.7014240622520447,0.6931818127632141,0.6462259003502429
10,,,0.6835890412330627,0.6913636326789856,0.6439434528822934
11,,,0.6672115325927734,0.6936363577842712,0.6465356244563462
12,,,0.6535985469818115,0.6949999928474426,0.6472918528331271
13,,,0.639997661113739,0.6913636326789856,0.642557591257382
14,,,0.6265756487846375,0.6945454478263855,0.649868456278965
15,,,0.616412878036499,0.6954545378684998,0.6493534663133714
16,,,0.6051963567733765,0.6940909028053284,0.6489101121840015
17,,,0.5967519283294678,0.6977272629737854,0.6508014308084422
18,,,0.5870509743690491,0.6959090828895569,0.6523212361451153
19,,,0.5805604457855225,0.6959090828895569,0.6485249425075618
20,,,0.572664201259613,0.6945454478263855,0.6487603472267909
