round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.9467406272888184,0.10751219838857651,0.041035110568761544
1,,,0.8813474774360657,0.6856585144996643,0.6406144584466816
2,,,0.6860691905021667,0.6997073292732239,0.6796480072568993
3,,,0.6052144169807434,0.6985365748405457,0.683958192423544
4,,,0.5602341890335083,0.7032195329666138,0.6670183748894629
5,,,0.5375494956970215,0.7038048505783081,0.6883335231099402
6,,,0.5284000039100647,0.706536591053009,0.7045886633645991
7,,,0.5200158357620239,0.7080975770950317,0.6762278517007935
8,,,0.5165106654167175,0.7112194895744324,0.6827953849123553
9,,,0.5139093995094299,0.700292706489563,0.6685314161665081
10,,,0.5096817016601562,0.7079024314880371,0.7031388652111524
11,,,0.5099313259124756,0.7120000123977661,0.6802234497696126
12,,,0.5061258673667908,0.7131707072257996,0.7087593538033178
13,,,0.5048421621322632,0.707317054271698,0.6728430947058038
14,,,0.5024323463439941,0.7118048667907715,0.6801435253205828
15,,,0.500952959060669,0.7063414454460144,0.695919994098007
16,,,0.5015254020690918,0.7127804756164551,0.7104827267815927
17,,,0.49800947308540344,0.7120000123977661,0.7070707478772534
18,,,0.49674609303474426,0.7123902440071106,0.7069973932947842
19,,,0.4957921504974365,0.7082926630973816,0.7044372081968555
20,,,0.49597927927970886,0.7276097536087036,0.72842719136673
