round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.2440624237060547,0.18168167769908905,0.9721770882606506,0.6859090924263,0.6556132970898229
2,1.0691956281661987,0.534034013748169,0.8184341788291931,0.6913636326789856,0.6334293380512245
3,0.9062642455101013,0.5965965986251831,0.7242644429206848,0.6986363530158997,0.6520028579995378
4,0.7841094136238098,0.6466466188430786,0.6682438254356384,0.7013636231422424,0.6456387423675476
5,0.7160398364067078,0.6711711883544922,0.6251263618469238,0.6995454430580139,0.6427019497786214
6,0.6664092540740967,0.6791791915893555,0.5965993404388428,0.699999988079071,0.6503469765018917
7,0.6350035667419434,0.6801801919937134,0.5716047883033752,0.7177272439002991,0.6756974461673405
8,0.6031402349472046,0.6916916966438293,0.5562119483947754,0.7154545187950134,0.6697029239732057
9,0.5860207080841064,0.6901901960372925,0.5430520176887512,0.7168181538581848,0.6746872125539715
10,0.5676889419555664,0.7087087035179138,0.5341304540634155,0.7268182039260864,0.6861990374635569
11,0.5578284859657288,0.7052052021026611,0.5264697074890137,0.7045454382896423,0.6622530521441736
12,0.5428206920623779,0.7022022008895874,0.5231418013572693,0.7213636636734009,0.6790891986326298
13,0.5377198457717896,0.7127127051353455,0.5187678933143616,0.7022727131843567,0.6593297508081631
14,0.5337952375411987,0.7087087035179138,0.515775740146637,0.714090883731842,0.6866498066228978
15,0.5240697860717773,0.7092092037200928,0.5130451321601868,0.7181817889213562,0.6905126547097028
16,0.5232492089271545,0.706706702709198,0.5116729140281677,0.7272727489471436,0.6866674903796477
17,0.5227397084236145,0.7107107043266296,0.5112207531929016,0.7195454835891724,0.6907031097704628
18,0.5168377757072449,0.7217217087745667,0.508374810218811,0.714090883731842,0.6802744930973325
19,0.515678882598877,0.7037037014961243,0.5064440965652466,0.7263636589050293,0.6993899493446297
20,0.5149285197257996,0.7127127051353455,0.5062683820724487,0.7209091186523438,0.6927205935279516
