round,3_client_f1,4_client_f1,5_client_f1
0,0.0852296470211942,0.0736459907916223,0.0246913157857548
1,0.5383512980363615,0.5523695143449413,0.539561883996606
2,0.5385727736474577,0.5961203833048888,0.6354694120155348
3,0.6291277029631029,0.5980455275659973,0.6356938434772431
4,0.6330536262566121,0.6371924888049508,0.6423425733885542
5,0.6341700871438456,0.6382799459660722,0.637420544099874
6,0.6349069521439287,0.6380766898492173,0.6390224725256328
7,0.6381353778980341,0.6315124056112962,0.6385812703322308
8,0.6399532855644842,0.6515801329137517,0.6387871659220076
9,0.6392564022136044,0.6366403040411356,0.6387871659220076
10,0.6353064089205154,0.642556288300759,0.6373347976382145
11,0.635946908859246,0.6398210193116981,0.6408626166930711
12,0.6379082498737155,0.6438651298888329,0.6392168127819123
13,0.6451526012318861,0.642048341797937,0.6367458052186278
14,0.6380299327098962,0.6416416962686976,0.6393554401920156
15,0.6363950978893749,0.6412668576985698,0.6388365400729082
16,0.6448086997553376,0.6390522996352173,0.6368463805690652
17,0.638420166513723,0.6494686229312598,0.6371307018274615
18,0.6436864873558961,0.6394395681646361,0.6415506887900116
19,0.6455178232125586,0.6381492354198179,0.6411058540859006
20,0.64664153252042,0.6707295609201616,0.636958598577223
