round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
1,2.7426199913024902,0.1477695107460022,1.1010973453521729,0.6590909361839294,0.5784618973172888
2,1.2101153135299683,0.5111523866653442,0.9998714923858643,0.692727267742157,0.6358173324056201
3,1.0600301027297974,0.5910780429840088,0.9162353873252869,0.7004545331001282,0.6458775726798835
4,0.9756343960762024,0.6013011336326599,0.8463428616523743,0.696363627910614,0.6706725614529089
5,0.8927624821662903,0.625464677810669,0.7916103005409241,0.6986363530158997,0.6445561087790066
6,0.8346357941627502,0.6310408711433411,0.7449594736099243,0.6990908980369568,0.6442132170975087
7,0.7757182121276855,0.6840148568153381,0.7084895372390747,0.7004545331001282,0.6446548972980934
8,0.7457941770553589,0.6514869928359985,0.678227424621582,0.6981818079948425,0.6424348273717266
9,0.7076260447502136,0.6895910501480103,0.654780387878418,0.703181803226471,0.6460573540041897
10,0.6677169799804688,0.6858736276626587,0.6355202198028564,0.6968181729316711,0.6381564545306769
11,0.6617817282676697,0.6821561455726624,0.6196592450141907,0.7036363482475281,0.6470091187566028
12,0.6411477327346802,0.6942379474639893,0.6051498651504517,0.7027272582054138,0.64653534792201
13,0.6183000206947327,0.6914498209953308,0.597140371799469,0.7013636231422424,0.6439307621042571
14,0.6044439673423767,0.6923791766166687,0.5844116806983948,0.7059090733528137,0.6490754949538045
15,0.6044270992279053,0.678438663482666,0.5779627561569214,0.7036363482475281,0.6465123079911929
16,0.582585334777832,0.6979553699493408,0.5751481652259827,0.706818163394928,0.6508037438800481
17,0.5754518508911133,0.7156133651733398,0.5676864981651306,0.7004545331001282,0.6743267935571734
18,0.5643550157546997,0.6923791766166687,0.5652041435241699,0.7049999833106995,0.6491802883800403
19,0.5664522051811218,0.696096658706665,0.5610162615776062,0.7063636183738708,0.6583280010450897
20,0.555269181728363,0.6970260143280029,0.5578863620758057,0.7054545283317566,0.6492908100680661
