round,train_loss,train_accuracy,eval_loss,eval_accuracy,f1_score
0,,,2.6485862731933594,0.06772727519273758,0.03466096491906923
1,,,1.0187326669692993,0.6859090924263,0.6452461677333181
2,,,0.8443930149078369,0.6899999976158142,0.6354226843441683
3,,,0.7215948700904846,0.6899999976158142,0.6446888771393687
4,,,0.658989429473877,0.6959090828895569,0.6810041838010805
5,,,0.6162861585617065,0.7018181681632996,0.6745023133206757
6,,,0.5817264914512634,0.6940909028053284,0.6770895339511425
7,,,0.5596628785133362,0.6945454478263855,0.6511362382754524
8,,,0.5434572696685791,0.7072727084159851,0.6784368719639645
9,,,0.5326427221298218,0.7040908932685852,0.6729970594176398
10,,,0.5229848623275757,0.710454523563385,0.6783680842198162
11,,,0.5165207982063293,0.6995454430580139,0.6587810553097128
12,,,0.5124303698539734,0.7131817936897278,0.7107219857606434
13,,,0.5095282793045044,0.7136363387107849,0.7071196521761058
14,,,0.5066497325897217,0.7159090638160706,0.7175008690678851
15,,,0.5034921169281006,0.7090908885002136,0.6773288794672433
16,,,0.501366376876831,0.721818208694458,0.6915943805081723
17,,,0.49953973293304443,0.7204545736312866,0.6853591836502458
18,,,0.49713560938835144,0.7181817889213562,0.6849330846372227
19,,,0.4963625371456146,0.714090883731842,0.6879532306543333
20,,,0.4948803782463074,0.7231818437576294,0.6895937441901059
